"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1137,74.6,"53.08%",1.09,112.7,108.9,-3.8,"49.04%","50.00%","31.38%",1043
"Baskonia Vitoria GasteizBAS",1115,74.3,"58.44%",1.12,113.3,111.7,-1.6,"54.42%","52.72%","38.54%",938
"Brose BambergBAM",1055,70.3,"57.23%",1.05,109.4,104.7,-4.7,"54.71%","52.40%","38.94%",881
"Crvena Zvezda mts BelgradeRED",1057,70.5,"52.39%",1.02,110.6,102,-8.6,"48.32%","49.08%","31.29%",925
"CSKA MoscowCSK",1127,74.5,"59.61%",1.1,105.9,110,4.1,"55.48%","54.11%","38.60%",913
"Darussafaka Dogus IstanbulDAR",1077,71.2,"54.07%",1.12,118.4,112.4,-6,"50.15%","47.61%","36.17%",983
"EA7 Emporio Armani MilanMIL",1113,73.6,"57.14%",1.07,120.4,107,-13.4,"53.32%","52.46%","36.81%",919
"FC Barcelona LassaBAR",1054,69.7,"53.61%",0.97,106,97.1,-8.9,"50.69%","47.40%","37.07%",867
"Fenerbahce IstanbulULK",1047,69.2,"56.31%",1.08,109.6,107.6,-2,"52.65%","50.36%","37.57%",888
"Galatasaray Odeabank IstanbulGAL",1067,71.1,"54.74%",1.03,113.4,102.6,-10.8,"52.71%","49.40%","38.99%",921
"Maccabi FOX Tel AvivTEL",1125,74.4,"56.26%",1.05,114.1,104.5,-9.6,"53.09%","50.64%","38.61%",940
"Olympiacos PiraeusOLY",1056,69.8,"57.01%",1.11,111.5,110.6,-0.9,"53.72%","51.99%","37.57%",914
"Panathinaikos Superfoods AthensPAN",1056,69.2,"54.93%",1.06,108.5,105.8,-2.7,"52.00%","49.62%","36.78%",927
"Real MadridMAD",1070,71.3,"58.52%",1.17,111.1,116.5,5.4,"55.24%","57.24%","34.87%",963
"Unics KazanUNK",1050,70,"54.53%",1.07,117.4,106.8,-10.6,"49.94%","48.21%","35.76%",902
"Zalgiris KaunasZAL",1049,69.9,"60.40%",1.16,116,116.2,0.2,"55.95%","51.94%","42.09%",882
