"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",2147,71.6,"62.79%",1.19,112.1,119.3,7.2,"59.76%","58.88%","40.74%",1855
"AX Armani Exchange Olimpia MilanMIL",2201,73.1,"59.77%",1.19,118.8,118.9,0.1,"54.97%","52.85%","38.69%",1902
"Buducnost VOLI PodgoricaBUD",2118,70.6,"54.13%",1.05,120.4,105.3,-15.1,"51.21%","48.18%","38.12%",1866
"CSKA MoscowCSK",2157,71.6,"60.25%",1.21,111.6,120.7,9.1,"55.44%","53.10%","40.00%",1876
"Darussafaka Tekfen IstanbulDAR",2174,72.5,"53.52%",1.03,118.5,102.9,-15.6,"49.79%","51.05%","31.55%",1868
"FC Barcelona LassaBAR",2120,70.4,"57.76%",1.12,108.1,111.8,3.7,"53.89%","53.26%","36.67%",1800
"FC Bayern MunichMUN",2097,69.3,"59.38%",1.13,115.6,113.1,-2.5,"55.83%","55.18%","37.95%",1775
"Fenerbahce Beko IstanbulULK",2056,67.7,"64.78%",1.23,110.6,123.1,12.5,"61.25%","59.04%","43.18%",1724
"Herbalife Gran CanariaCAN",2212,73.4,"54.73%",1.05,119,105.4,-13.6,"51.29%","51.33%","34.15%",1900
"Khimki Moscow RegionKHI",2120,70.4,"56.99%",1.11,115.8,110.6,-5.2,"53.47%","54.38%","34.96%",1843
"KIROLBET Baskonia Vitoria-GasteizBAS",2170,72,"57.88%",1.13,110.1,113.2,3.1,"54.16%","53.98%","36.30%",1877
"Maccabi FOX Tel AvivTEL",2152,71.7,"55.11%",1.1,109,110.4,1.4,"52.39%","53.66%","33.64%",1947
"Olympiacos PiraeusOLY",2109,70,"56.94%",1.11,109.4,110.8,1.4,"53.21%","53.33%","35.32%",1807
"Panathinaikos OPAP AthensPAN",2160,71.7,"55.36%",1.11,109.1,110.6,1.5,"52.45%","54.68%","31.57%",1921
"Real MadridMAD",2182,72.7,"60.27%",1.18,107.3,118.1,10.8,"56.65%","56.43%","37.96%",1895
"Zalgiris KaunasZAL",2110,69.5,"60.06%",1.13,111.6,113.3,1.7,"54.63%","53.10%","38.91%",1705
