"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",2627,74,"53.95%",1.09,110,109.3,-0.7,"50.17%","50.00%","33.67%",2357
"Baskonia Vitoria GasteizBAS",2459,74.5,"56.93%",1.1,107.7,110,2.3,"53.22%","53.30%","35.39%",2112
"Brose BambergBAM",2145,70.9,"60.12%",1.12,113.3,111.7,-1.6,"56.94%","54.83%","40.17%",1795
"Crvena Zvezda mts BelgradeRED",2138,71,"53.77%",1.03,103.1,103.3,0.2,"49.95%","50.08%","33.12%",1832
"CSKA MoscowCSK",2629,74.6,"62.27%",1.17,106.5,116.5,10,"57.07%","55.14%","40.34%",2107
"Darussafaka Dogus IstanbulDAR",2420,70.9,"55.14%",1.11,111.8,111.2,-0.6,"51.30%","48.87%","36.80%",2148
"EA7 Emporio Armani MilanMIL",2233,74.1,"56.43%",1.08,117.4,108.5,-8.9,"52.46%","52.46%","34.98%",1889
"FC Barcelona LassaBAR",2101,69.7,"55.19%",1.02,106.7,101.9,-4.8,"51.90%","48.48%","37.85%",1739
"Fenerbahce IstanbulULK",2418,68.6,"58.50%",1.11,106.6,110.8,4.2,"54.84%","51.68%","39.97%",2025
"Galatasaray Odeabank IstanbulGAL",2140,71.3,"56.92%",1.1,115.7,109.6,-6.1,"54.45%","50.88%","40.47%",1877
"Maccabi FOX Tel AvivTEL",2209,73.3,"57.25%",1.06,113.6,106,-7.6,"54.27%","51.91%","39.23%",1828
"Olympiacos PiraeusOLY",2631,70.9,"55.06%",1.09,103.9,108.8,4.9,"51.16%","50.60%","34.70%",2290
"Panathinaikos Superfoods AthensPAN",2343,69.7,"54.77%",1.08,105.2,107.6,2.4,"51.63%","50.59%","35.38%",2053
"Real MadridMAD",2614,72.6,"59.69%",1.17,109,117.4,8.4,"56.20%","56.40%","37.27%",2283
"Unics KazanUNK",2105,69.9,"56.16%",1.09,115.2,109.2,-6,"51.66%","50.04%","36.67%",1808
"Zalgiris KaunasZAL",2091,69.7,"58.33%",1.12,114.3,112.4,-1.9,"54.26%","51.96%","38.93%",1786
