"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1067,71.1,"54.86%",1.08,121.1,108.2,-12.9,"51.43%","51.00%","34.93%",943
"AX Armani Exchange Olimpia MilanMIL",1072,70.3,"58.24%",1.11,118.3,111.5,-6.8,"54.75%","55.50%","35.71%",905
"Brose BambergBAM",1056,70.4,"57.18%",1.06,119.2,106.4,-12.8,"52.11%","49.44%","37.74%",854
"Crvena Zvezda mts BelgradeRED",1066,71.1,"53.40%",1.05,123.4,105.1,-18.3,"49.68%","48.93%","33.88%",926
"CSKA MoscowCSK",1244,73.2,"60.06%",1.17,109.5,117.4,7.9,"56.11%","56.30%","37.15%",1072
"FC Barcelona LassaBAR",1071,71.4,"59.87%",1.15,117.4,114.7,-2.7,"56.79%","54.97%","39.72%",913
"Fenerbahce Dogus IstanbulULK",1227,67.2,"61.75%",1.19,112.7,118.9,6.2,"57.61%","52.88%","43.92%",1038
"Khimki Moscow RegionKHI",1202,70.7,"56.93%",1.13,116.6,113.1,-3.5,"53.19%","51.99%","36.40%",1066
"KIROLBET Baskonia Vitoria GasteizBAS",1205,70.9,"59.80%",1.13,114.5,113.4,-1.1,"57.14%","55.31%","40.05%",1037
"Maccabi FOX Tel AvivTEL",1094,72.9,"55.28%",1.11,120.2,110.6,-9.6,"52.25%","51.45%","36.11%",976
"Olympiacos PiraeusOLY",1191,68.5,"54.55%",1.03,113.4,103.4,-10,"49.43%","48.61%","33.75%",973
"Panathinaikos Superfoods AthensPAN",1199,70,"53.71%",1.06,114.1,105.6,-8.5,"51.00%","52.66%","32.40%",1050
"Real MadridMAD",1300,71.7,"58.94%",1.17,114.5,116.9,2.4,"54.95%","54.23%","37.31%",1131
"Unicaja MalagaMAL",1070,70.7,"55.11%",1.09,119.4,108.9,-10.5,"51.70%","49.74%","36.62%",940
"Valencia BasketPAM",1026,68.4,"58.40%",1.11,123.7,111.2,-12.5,"53.64%","48.26%","41.09%",866
"Zalgiris KaunasZAL",1372,70.4,"60.23%",1.11,111.7,111.2,-0.5,"56.52%","53.56%","42.90%",1104
