"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"Anadolu Efes IstanbulIST",2321,642,1286,213,622,398,521,"6000:00",331,349,2530,733,462,280,646,1165,285,676,383,484,"6000:00",348,91,643,569,176
"AX Armani Exchange Olimpia MilanMIL",2450,596,1134,259,705,481,617,"6100:00",319,286,2575,730,482,302,696,1279,247,601,442,566,"6100:00",321,76,668,641,156
"Brose BambergBAM",2309,556,1101,247,644,456,571,"6000:00",365,255,2446,712,485,280,604,1122,258,674,464,586,"6000:00",321,49,689,654,145
"Crvena Zvezda mts BelgradeRED",2333,579,1171,252,738,419,558,"6000:00",323,366,2515,744,473,297,628,1132,259,631,482,615,"6000:00",376,71,611,695,203
"CSKA MoscowCSK",3194,806,1469,327,785,601,739,"7225:00",418,381,2906,778,634,388,721,1384,301,792,561,761,"7225:00",508,108,818,809,270
"FC Barcelona LassaBAR",2456,640,1165,278,727,342,462,"6000:00",365,288,2404,708,615,327,635,1209,242,707,408,559,"6000:00",329,67,755,639,182
"Fenerbahce Dogus IstanbulULK",2929,732,1355,310,739,535,674,"7300:00",428,350,2740,721,692,383,678,1307,289,809,517,679,"7300:00",427,100,800,763,229
"Khimki Moscow RegionKHI",2684,609,1153,338,934,452,602,"6800:00",410,348,2701,829,613,412,605,1197,301,811,588,772,"6800:00",454,108,753,769,240
"KIROLBET Baskonia Vitoria GasteizBAS",2820,715,1279,322,802,424,561,"6800:00",429,328,2725,745,665,329,675,1261,297,811,484,624,"6800:00",411,99,801,696,202
"Maccabi FOX Tel AvivTEL",2440,720,1399,200,562,400,566,"6000:00",340,360,2530,750,524,338,626,1212,292,762,402,524,"6000:00",335,109,735,582,198
"Olympiacos PiraeusOLY",2643,637,1235,261,780,586,778,"6950:00",434,362,2638,800,548,346,737,1442,235,689,459,620,"6950:00",355,63,859,722,179
"Panathinaikos Superfoods AthensPAN",2701,673,1243,306,860,437,645,"6875:00",394,350,2651,840,556,357,691,1334,242,679,543,729,"6875:00",446,82,771,794,244
"Real MadridMAD",3090,721,1308,347,919,607,785,"7225:00",412,375,2891,835,695,385,710,1422,321,864,508,658,"7225:00",434,117,909,734,243
"Unicaja MalagaMAL",2387,618,1209,248,709,407,544,"6075:00",356,385,2467,687,544,308,612,1093,307,786,322,426,"6075:00",354,63,670,540,193
"Valencia BasketPAM",2360,525,1032,294,739,428,517,"6050:00",346,269,2449,686,520,293,672,1198,250,672,355,466,"6050:00",316,64,683,564,152
"Zalgiris KaunasZAL",2928,803,1478,250,594,572,741,"7300:00",483,353,2877,720,692,380,636,1260,326,895,627,812,"7300:00",418,69,853,850,204
