"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"Anadolu Efes IstanbulIST",2521,679,1351,240,689,443,592,"6100:00",355,381,2512,774,555,307,679,1254,255,641,389,507,"6100:00",426,99,687,567,212
"Baskonia Vitoria GasteizBAS",2445,662,1243,237,681,410,539,"6000:00",396,334,2376,718,539,320,548,1118,277,733,449,610,"6000:00",390,92,768,633,199
"Brose BambergBAM",2397,602,1098,280,697,353,451,"6050:00",375,223,2430,708,547,296,591,1157,256,676,480,612,"6050:00",337,82,724,658,164
"Crvena Zvezda mts BelgradeRED",2209,609,1216,204,616,379,505,"6025:00",361,277,2204,770,490,267,570,1044,235,670,359,464,"6025:00",486,49,664,607,271
"CSKA MoscowCSK",2619,640,1153,267,658,538,659,"6049:16",436,284,2387,649,612,311,607,1179,242,674,447,606,"6050:00",449,99,721,665,212
"Darussafaka Dogus IstanbulDAR",2373,569,1177,272,728,419,582,"6025:00",335,360,2366,751,429,310,632,1176,243,661,373,506,"6025:00",372,74,694,600,194
"EA7 Emporio Armani MilanMIL",2422,673,1283,212,606,440,584,"6025:00",426,339,2621,703,523,316,634,1115,299,770,456,586,"6025:00",413,46,664,660,211
"FC Barcelona LassaBAR",2141,496,1023,271,716,336,456,"6025:00",443,282,2242,703,517,295,571,1115,263,729,311,416,"6025:00",368,61,733,553,212
"Fenerbahce IstanbulULK",2286,566,1097,252,658,398,526,"6050:00",374,273,2244,692,514,294,593,1141,237,664,347,474,"6049:16",391,96,705,584,202
"Galatasaray Odeabank IstanbulGAL",2345,608,1195,276,682,301,416,"6000:00",360,280,2475,741,586,372,658,1283,267,653,358,492,"6000:00",366,117,676,563,186
"Maccabi FOX Tel AvivTEL",2341,626,1206,244,622,357,492,"6025:00",425,260,2509,734,527,342,656,1224,274,784,375,496,"6025:00",330,53,763,606,163
"Olympiacos PiraeusOLY",2338,603,1156,234,699,430,581,"6025:00",384,351,2227,709,456,305,604,1294,211,571,386,502,"6025:00",363,100,761,590,188
"Panathinaikos Superfoods AthensPAN",2326,553,1086,285,792,365,511,"6125:00",336,296,2234,782,459,310,592,1225,225,607,375,498,"6125:00",411,97,722,597,224
"Real MadridMAD",2585,642,1127,299,797,404,522,"6000:00",370,335,2353,655,618,313,613,1215,240,674,407,551,"6000:00",368,88,765,621,210
"Unics KazanUNK",2298,610,1219,216,589,430,541,"6025:00",379,320,2425,690,472,305,645,1226,250,651,385,495,"6025:00",348,81,682,575,163
"Zalgiris KaunasZAL",2350,597,1149,248,637,412,519,"6000:00",409,332,2391,635,571,264,542,1013,263,709,518,661,"6000:00",346,55,685,699,148
